UUID,Price,Quantity,Date
10728891-ba31-44e7-bafe-303f35aa5e8a,65,26,Mon Apr 10 2023
42776307-40f0-4ae4-9d31-01857e9beca1,27,25,Sun Jul 31 2022
9cfd567c-1ca8-422c-9e97-613eae4d3aef,43,30,Sun Sep 24 2023
ccbe190b-7726-4448-a4b8-76e2f77f8158,80,32,Tue Nov 22 2022
5756cf1c-c4c6-4796-a307-bf8f3d44b674,84,49,Tue Nov 15 2022
82a753c9-5534-4c8c-bb73-96f579e33077,86,45,Tue Mar 19 2024
f6cbe106-d9e5-41f8-a817-8b5d2cd53a54,9,36,Wed Mar 29 2023
901a35b6-49ec-4d0d-b395-cc1f818b84d6,84,31,Tue Sep 05 2023
9b9ec046-108b-40b2-a920-741cf0a5235f,27,10,Sun Jul 17 2022
cc1a4650-45b4-400b-9cec-daf6af72f765,67,2,Sun Apr 10 2022
82397b5f-74ee-47d1-9097-85fc7bf78eb6,61,33,Mon Mar 20 2023
19b8f909-f5f9-4b61-9316-0a87634620af,27,41,Mon Feb 13 2023
7e2cfeed-e05c-46c3-b1d8-b72ac428b2ec,84,37,Tue May 17 2022
18ccdef0-3185-4f95-9ca2-2a35b805682e,83,4,Thu Nov 09 2023
59e72dd1-f01f-4e17-9eda-3f780016ef79,20,2,Thu Jun 01 2023
9e30bca6-e389-4bf7-a446-6af399244ebf,3,14,Mon Feb 20 2023
8d992668-05d6-4a17-b9f1-bd5d9df4ec5f,59,20,Sat Apr 09 2022
99717672-3961-489f-84d3-ceb1f2633181,25,33,Sat May 07 2022
5ec19019-a898-4840-9ed8-78ba1eb077b9,13,26,Thu Jul 07 2022
6c1344aa-091d-496e-8bbb-e6447e360929,38,9,Thu Nov 09 2023
4727ac58-cb8a-44ba-ac7b-4e5f8763b386,56,47,Tue May 09 2023
46c81ae2-7c21-4d32-a396-4747d4571cfa,38,40,Tue Mar 28 2023
1fd65c8c-ba32-4ff9-aea6-4e9d56dff4ba,91,1,Mon Jan 02 2023
a127b49d-56b1-4e48-8a0d-47aaf03e3a52,80,28,Mon May 23 2022
b026141b-c7bc-4974-8b8e-cd2a81b36ca8,34,48,Wed Aug 09 2023
4cb612dd-01a7-4840-bd3e-5f95a99148c6,77,23,Wed May 31 2023
68bc00fe-7f4b-400c-8d06-495d9a623109,54,41,Mon Jun 20 2022
1b8742bc-f346-4014-9bee-b1a4f262121b,2,19,Wed Oct 12 2022
132ecbc7-d235-4178-8a56-a91654aeee07,65,16,Sun Dec 11 2022
f98d2c44-3bb8-40fb-997e-7337729f8bf2,1,9,Tue Nov 08 2022
0cf5492e-31c8-42fe-8c65-836f458a4527,3,46,Tue May 09 2023
691866cc-d530-48e5-b635-e3741b56f4bd,35,40,Sat Dec 16 2023
96120088-7c57-438c-9e91-9e25a5185978,68,44,Sun Oct 02 2022
1cd58e17-b68a-42da-b548-08112da7ac2b,98,29,Sun Jan 08 2023
26eabb18-2ca6-46c0-b3b5-5c47c8d4fb98,80,6,Mon Jul 31 2023
2c281797-260b-4e88-8ce4-3de16cd2c02c,75,16,Mon Mar 27 2023
a4602e93-d059-4077-b64c-0e02d97bff4c,46,45,Fri Nov 25 2022
52967da9-d06c-4d4c-9a6b-5c6a8d774498,100,27,Tue Jan 03 2023
ef9f0c5a-d872-4cdd-b76d-2d54e9d57456,29,23,Tue Mar 07 2023
9457d4bf-d5b4-495d-a443-36b4425e601f,66,24,Fri May 06 2022
0ca53830-fb43-4a9a-8cbd-b07bceb8ba20,5,47,Sat May 28 2022
f1ed77c8-2136-49a6-aea6-b388d9b1789c,72,11,Sun May 07 2023
8ba550fb-da61-4980-8382-4ea42ede3559,65,30,Mon Sep 19 2022
3c3e68db-f604-420f-a19e-67ef2bf980fa,9,1,Sun Mar 24 2024
ac1d62e5-7678-4705-8ce3-e6da54390f90,83,14,Sun Jan 01 2023
d2440fc4-4a68-4f95-97ed-6750a765dfa2,74,41,Sat Mar 16 2024
e9a86e30-5ea7-442e-8962-0ed3838b6185,99,30,Wed Feb 28 2024
9837d012-bc96-469d-8ab7-2cbfc6b9fed2,41,36,Sat Jun 04 2022
f0f2e47d-cf15-4764-9bd9-c77f06215cfd,62,44,Thu Aug 31 2023
367fb58e-cf85-406f-8140-254a71ee55c8,50,8,Sun Aug 28 2022
91a0fecd-6ead-451e-bd9b-b9af18557cfd,10,20,Thu Jan 26 2023
bd9902b5-efb5-432e-9af6-d412f4aeb924,3,36,Thu Jan 05 2023
265f6025-94b4-49f0-a1bb-60bbb85a96f2,76,50,Wed Nov 08 2023
82dc6fef-faa8-4fd5-8203-defa69d909fc,67,33,Sat Jul 22 2023
f3bc2a77-f511-4361-8b68-cc4e846c18ba,59,38,Mon Aug 14 2023
48db461d-8cbb-4a42-88a5-08898850dd66,3,40,Wed Nov 23 2022
842bae66-e37c-4653-956a-caec2ae071fa,88,19,Mon Sep 18 2023
fc28c7b7-5be1-4ce5-a15b-3bd68f929cc7,13,2,Sat Jul 01 2023
ac4dd554-dee1-49c3-8c49-c78f234d3fb9,57,44,Thu Nov 23 2023
8cd372d9-af85-416d-908d-a3bfebfad607,14,12,Fri Nov 24 2023
2d7750fe-cac2-4ffd-b1d5-9bee50421c22,94,39,Wed May 04 2022
eff831c6-f835-4bea-8757-19f0bd142a1f,66,1,Sun Jun 18 2023
2ae35b0e-525a-410c-ad3f-96797d6f1ae6,47,28,Fri Jul 22 2022
1386bdd1-5789-402d-928a-086e1cd8598d,35,30,Sun Mar 24 2024
463828c1-342f-4afd-9aaf-7ba7f6b87691,83,33,Sat Apr 23 2022
f157b0b8-082f-4276-aafa-236ba46457e7,53,8,Mon Aug 14 2023
6a2e11e5-bdd9-494c-81bf-3f878ffc6e5c,7,2,Wed Apr 19 2023
887da64b-27b7-4edd-a9f9-afd13f436cff,67,20,Sun Oct 16 2022
09910c75-d14d-47c5-9663-c729fbd42245,7,29,Thu Nov 17 2022
2b60a10c-e87c-4de3-a3aa-0aab81fc7e9f,63,23,Wed Jul 05 2023
38cb1c94-1c5a-4665-9497-a64388b4bf79,69,5,Sat Mar 18 2023
70d58a1d-c5c1-4702-8e89-d7bc1344b227,49,39,Fri Mar 24 2023
f2f82d29-f5df-4539-805a-39e1dc544874,96,32,Thu Nov 17 2022
9eb789fa-c5b3-4ed3-b5b0-c3bdc4bc10bf,4,44,Sun Oct 15 2023
61949856-65e1-4a73-99e7-5e676d402e76,95,2,Fri Mar 22 2024
03c27362-89c3-4298-82ca-8864aef2c65a,65,39,Tue Jan 02 2024
02c7ccf7-d35c-4023-827f-d516a30dd893,1,40,Wed Jul 27 2022
ff9ea9ed-d465-495c-b98a-8c35e192641e,99,47,Fri Dec 29 2023
38ec14df-95e9-4c41-84a7-71173ac412dc,83,1,Mon Jan 02 2023
08d020c3-0e8b-49eb-948d-4f4decfc2958,67,2,Thu Jun 15 2023
7ed179c0-28bc-41b2-b6e9-02731f20799b,62,40,Sun Aug 28 2022
3cc916b0-d4c7-4a8e-87dd-5e59310ac05d,11,39,Tue Feb 13 2024
fd21e970-adc5-4867-803b-9ca2e0925090,41,32,Wed Feb 21 2024
90561f62-17de-4eec-8e34-5379568a3979,27,6,Tue Aug 30 2022
ddcb610d-0f76-4d52-962b-13b21c2699f3,47,26,Mon Sep 04 2023
39590113-d3b5-42f8-b468-2f0d0dc4ee6c,45,39,Thu Sep 01 2022
160fab1d-b6dc-4954-a311-aebfa3540943,52,13,Mon Dec 18 2023
c0f50d79-5f67-4bf5-90d4-7c101b142ebb,89,44,Sun Dec 11 2022
49b8cdf4-234c-4678-85ec-d358d3e0a331,29,33,Sun Feb 04 2024
983096cb-f087-44d6-b9de-12091d37e4fe,6,42,Tue Dec 19 2023
6695af0e-f110-4c8c-a231-4155dcc9bda7,3,48,Thu Aug 17 2023
faa7e3ac-d056-474d-92a6-57ab6e9ef3dd,95,24,Thu Jul 14 2022
e3e0cb6a-05c1-49d9-ab0a-d95276a1bdd0,56,8,Fri Apr 28 2023
89771941-7217-46c3-9894-5f0d2421632c,51,4,Sun Aug 27 2023
f8f45152-522c-48f2-93d1-9bfac77fae64,6,7,Wed Oct 25 2023
77130592-40d7-49dc-914e-28b3b29294b3,56,23,Mon Sep 25 2023
78228cdb-aa01-4101-a471-a27eebfebc6b,95,21,Mon Feb 20 2023
9c49d794-32e9-4b2e-a80b-d1d64dc14c62,10,46,Sun May 29 2022
fa705147-0ed7-41e3-9ee5-c1d7cc541809,20,42,Fri Aug 25 2023
c17d5186-f6ef-4252-a14a-b80d65364579,1,12,Fri Feb 17 2023
0a6128c9-9687-422b-b65e-6a4fc6beb771,31,25,Wed Aug 23 2023
d35ff730-0d33-48cc-8529-768a78186ee5,61,45,Wed Aug 31 2022
3a506e6e-391d-4d7c-88b0-0255b75474c6,51,45,Sun Apr 03 2022
f3678b87-fe95-48c3-b740-46bd7eea7c62,64,35,Sat Jun 17 2023
1d3734ff-cebe-4750-88cc-18e7e51e2ddb,45,35,Fri Jan 26 2024
